Taiga ID   ,Taiga Feature,Taiga State,Taiga subject
188,Configuration Persistence,Fixed,"Configurations getting erased post reboot from startup config , startup json strings has the configuration data structures"
189,rest,Fixed,REST: If-Match Test failing randomly
190,Ping,Fixed,"Datagram-size range is not working after a particular value in ""ping"" command"
191,Ping,Fixed,Ping results 100% packet loss with ip-option
196,Mgmt interfaces,Fixed,No form of CLI supported not required for certain interface setting parameters
198,rest,Fixed,"REST: GET method on backward references such as ""Route"" is not working."
199,link aggregation,Fixed,remove interface from LAG restarts switchd
201,platform,Open,ops-config-yaml unit tests are failing
203,Traceroute,Fixed,timeout range for traceroute is not working after certain value
204,link aggregation,Fixed,LACP not working after changes in modules outside ops-lacpd
205,rest,Fixed,REST - GET and GET all in users resource is not consistent with other resources
206,rest,Fixed,REST: Internal Server error when using If-Match with POST/GET
207,rest,Fixed,REST: If-Match not supported with CORS
209,Sftp server,Skip Fix,Need to have sftp server stats show command
210,Ping,Fixed,Ping6: Failing to resolve IPv6 address shows error and datagram-size error
215,CLI infra,Fixed,"""show running-config"" is not displaying in sorted order."
216,basic l3,Open,CLI allows two interfaces to have same IP address
218,link aggregation,Fixed,"Vlan lag configuration don’t overwrite interface vlan configuration, and traffic is dropped from valid configuration."
219,Configuration Persistence,Open,show startup-config does not show the complete startup-config.
220,CLI infra,Open,show running-config causes coredump
221,Ping,Fixed,"Continuous  ping with maximum datagram size shows ""no buffer space available"" after some time"
223,Mgmt interfaces,Open,show inter brief is only showing ports 49 through 54-4
225,CLI infra,Fixed,"Unexpected output when you enter ""show con""  command"
226,BGP,Fixed,clear ip bgp <help string> show Error messages
227,BGP,Fixed,Observed vtysh core dump while check ip bgp summary
228,Ping,Fixed,"Pattern given with ""data-fill"" parameter is not coming with ICMP packet"
229,CLI infra,Open,Need CLI command to copy config (running or startup) to/from external host
231,BGP,Fixed,Segmentation fault when perform the command show ip bgp summary
234,CLI infra,Fixed,"""Show Session-timeout"" doesnt display any output when the session-timeout value is default"
236,link aggregation,Fixed,Markdown update for show running-config
239,BGP,Assigned,"show bgp <memory, rsclient, summary, view and views>  are not yet implemented"
240,rest,Fixed,[REST] Using depth parameter in any operation other than GET should give a Bad Request
241,basic l3,Open,Need single CLI command to show all IP addresses
252,BGP,Fixed,"""show ip bgp ip bgp vpnv4"" + tab = Error: Help strings does not match for the identical tokens"
253,BGP,Fixed,"""show ip bgp ip bgp vpnv4 rd"" + tab = ASN:nn_or_IP-address:nn  Error: Help strings does not match for the identical tokens"
254,CLI infra,Fixed,"""sh startup-config"" hangs and CPU at 100%"
257,BGP,Fixed,BGP: A high amount of routes from disconnected peer remain in routing table
279,Ping,Fixed,Non-default interval parameter is not working as expected for Ping6
280,Sftp server,Open,SFTP Server : No uniformity in config commands and naming conventions  with other features/servers.
282,Traceroute,Fixed,"minttl value 255 in traceroute displays error ""traceroute: setsockopt: Invalid argument"""
285,Traceroute,Fixed,[Trace Route] :  Incorrect IP address on Traceroute say 0.0.0.0 should throw error
286,basic l3,Fixed,Static routing is not displaying in sorted order
287,Traceroute,Fixed,[Traceroute] - Traceroute to any non existing IP address in the same network should display as Host unreachable
288,Traceroute,Fixed,[Trace Route] - Display Meaningful Error message on Network unreachable condition
289,vlan,Fixed,Inconsistent VLAN status behavior
290,vlan,Fixed,VLAN ports not in sorted order while check VLAN status by show VLAN
291,vlan,Fixed,VLAN field is empty in interface status while check by “show interface brief”
292,link aggregation,Fixed,LAG: L2 config does not display under interface that is attached to LAG in show running-config output.
293,Traceroute,Assigned,Traceroute with ip-option loosesourceroute is not disiplaying any hop info
296,rest,Assigned,REST - PUT operation is not reporting when it comes to change an immutable field
298,CLI infra,Fixed,LLDP core dump while configuring it after build update
301,Traceroute,Fixed,Optional parameters  should be displayed while executing the traceroute CLI
302,link aggregation,Fixed,"LACP: Unable to remove lacp port-id, port-priority configured on interface to set default value."
303,platform,Assigned,Duplicate DIAG entries are created on boot GRUB
304,onie,Assigned,Interface not getting IP from DHCP in ONIE rescue mode
305,link aggregation,Fixed,LAG: Transceiver option is not applicable for LAG interface .
306,BGP,Fixed,Appropriate message required when user added another BGP AS number
307,vlan,Fixed,VLAN field is empty while check LAG interface status by “show interface lag <ID> brief”
311,Configuration Persistence,Fixed,"""copy running-config startup-config"" takes 1:30 minutes and CPU at 100%"
313,Configuration Persistence,Fixed,Startup configuration erased when both data and mgmt interface has same IP & route for data plane
314,Traceroute,Fixed,Intermediate hops are not displaying in Traceroute CLI output
315,BGP,Fixed,BGP adjacency not formed without router ID when user configure interface level IP's prior to bgp global configuration
316,BGP,Fixed,"BGP: Deleting an already deleted network causes the latest added network to be deleted, this can be repeated over and over again"
317,link aggregation,Fixed,"LAG: System-priority range option should be removed for  the CLI ""no lacp system-priority""."
321,lldp,Open,LLDP - Port ID not removed when disable and consulting from neighbor info
328,vlan,Fixed,VLAN document issue: VLAN display commands
329,vlan,Fixed,CLI command not properly documented in VLAN CLI user guide
330,vlan,Assigned,VLAN user guide document issue
333,vlan,Fixed,Ports needs to be renamed as interfaces in all VLAN CLI configuration and output
334,link aggregation,Fixed,"LAG: Core dumped for vtysh, ops-lldpd while configuring speed on lag interface(Aggregate-name)."
335,link aggregation,Fixed,LAG : show lacp interface <aggregate name> is not returning any output.
338,link aggregation,Fixed,LAG : LACP System-priority value is not reflected consistently
344,lldp,Fixed,9 coredumps generated by lldpd in under 4 hours while LLDP was disabled.
351,vlan,Assigned,Need a way to check interfaces VLAN mode
352,link aggregation,Fixed,LAG : Passive LACP mode in both switches resets partner parameters to be 0
354,vlan,Fixed,"Interface configured with ""vlan trunk native"" is dropping untagged traffic."
355,link aggregation,Fixed,LAG : show running-config interface <LAG-Name>  behaves differently
356,lldp,Fixed,Neighbor chassis-name doesn't get populated instantaneously in sh lldp neighbor output
357,vlan,Fixed,VLAN trunk native is not working in a particular VLAN sequence of configuration
359,Mgmt Interface,Assigned,"Mgmt Interface : When Mgmt IPV6 address is configured with last octet as 0, it is not displayed in show interface command"
360,vlan,Fixed,User able to add internally allocated VLANs as allowed VLANs on trunk port
363,link aggregation,Fixed,"LAG: Switching a LAG between specific interface is not synced and details are not populated in ""show lacp interfaces"" ."
364,Traceroute,Fixed,Descripency in  traceroute user_guide
365,Traceroute,Fixed,Descripency in traceroute cli_guide
366,Ping,Fixed,Descripency in ping user_guide
367,vlan,Fixed,Internal VLAN allocated for split parent interface
368,vlan,Open,Split child interface acting as L3 when there is no split on parent
371,Configuration Persistence,Open,"copy startup-config running-config doesn´t work, unexpected output after load start up config into running config"
374,BGP,Fixed,BGP route not seen in ip route table causing end to end network un-reachable
376,link aggregation,Fixed,LAG : Lag configuration is removed when an interface attached to LAG is moved to L3 mode
377,vlan,Fixed,"vtysh coredump in ""show run"""
378,link aggregation,Fixed,LAG interface allocation issues on split interface
379,link aggregation,Fixed,LAG Port and system priority are not used with aggregation keys
380,link aggregation,Fixed,"LAG: once the maximum LAG interface count is already reached, is possible to create new ones"
381,rest,Fixed,REST Error messages not formatted as json.
384,link aggregation,Fixed,Internal VLAN should be released once LAG interface converted as L2
386,vlan,Open,Wrong default VLAN display info on trunk port
387,vlan,Open,Need a way to configure “vlan trunk” on trunk interface
389,basic l3,Fixed,Static route : active static routes are not displayed in show ip route command output
391,link aggregation,Fixed,"LAG : With no partner, some LAG parameters are populated in partner column"
392,basic l3,Open,Duplication of IP address across interface vlans and L3 interfaces .
394,BGP,Fixed,BGP: Routes no longer advertised.
395,basic l3,Open,dhclient6@eth0.service failed to start
396,rest,Fixed,Using mutable flag to check if table is immutable in declarative configuration
397,BGP,Fixed,BGP MD5 password between neighbors is not working and session is being Established.
398,BGP,Fixed,BGP: Routing table failing to be synced between DB and Kernel
399,BGP,Fixed,BGP: Scale issue BGP is bouncing with 1000 routes
402,lldp,Open,Need LLDP to be turn on by default
405,basic l3,Open,"L3 Interfaces accepts invalid, multicast, reserved  ipv4/ipv6 addresses except mgmt interface."
407,lldp,Fixed,"LLDP: Invalid ipv4/ipv6 addresses can be configurable on ""lldp management-address <ipv4/ipv6 addresses>."
408,vlan,Fixed,Show run does not display interface vlans in numerical order
409,ntp,Fixed,"Error is displayed after checking the CLI help for NTP feature. ""Error: Help strings does not match for the identical tokens"""
410,platform,Fixed,40Gb interface is auto negotiating to 1Gb.
415,rest,Fixed,DC needs to return configuration columns from the sub-tree
417,CLI-infra,Fixed,'-Werror and -Wall need to be re-enabled on ops-cli/vtysh/Makefile.am
418,basic l3,Fixed,Static route: broadcast and multicast address are allowed to be configured as destination prefix.
419,basic l3,Fixed,Static route: Local ip should not be allowed to configure as next hop
420,BGP,Fixed,Dynamic router ID not populated when forming BGP network
421,link aggregation,Fixed,Open Switch: Huge Packet Loss between Hosts over Static Route
422,BGP,Fixed,BGP learned routes doesn't clear at all dynamically when user disable interfaces containing network prefix
427,CLI-infra,Fixed,"vtysh core dumped for the basic ""diag-dump lldp basic"" command"
429,ntp,Fixed,Python ntp and ops-switchd process spiking very high even without any traffic or any configuration
430,vlan,Fixed,Default VLAN not assigned to L2 interface by default in a specific scenario
433,lldp,Open,LLDP : Some default tlv fields ( related to port ) are not displayed in remote
434,lldp,Fixed,Event logging basic feature not working for lldp module the only module supported
435,Mgmt Interface,Open,ops-mgmt-intf: index out of range exception when no management interface exists
437,platform,Fixed,Platform: Switch is crashing if you split a 40 G port and then try to access to an invalid interface
438,platform,Fixed,Platform: switch allows you to access split interfaces that haven't been configured
439,platform,Fixed,"Platform: Fake ""no split"" interface configuration"
444,Mgmt Interface,Open,Platform: Show commands to get interface speed are not synchronized
447,vlan,Fixed,Deconfiguring some part of the internal vlan range resets the range to the default value
448,basic l3,Open,Misleading ARP entries in the ARP table
449,vlan,Open,VLAN auto creation support
451,BGP,Fixed,Filtering BGP route doesn't take effect dynamically
452,BGP,Fixed,Database transaction aborted message when user try to create route-map to router bgp configuration twice
456,rest,Assigned,Documentation of POST /system/vrfs/{ppid}/bgp_routers/{pid}/bgp_neighbors is wrong
460,rest,Fixed,lldp_enable missing from Swagger documentation
466,Mgmt Interface,Fixed,Mgmt interface : Ipv4 static ip assignment to the interface is not working even though it shows in runcfg.
469,Diagnostics,Open,"interface is not in sorted order in ""diag-dump lldp basic"" output"
473,BGP,Fixed,Tier1 CIT test doesn't include or  enable test case - test_bgp_ft_routemaps_with_hosts_ping.py every execution
480,Diagnostics,Fixed,CLI expand help support is missing for show tech features CLIs
486,Autoprovisioning,Fixed,ZTP: Inconsistent behavior in Auto-provisioning when script is changed.
487,ntp,Fixed,NTP: Connection not established with NTP server using physical switch
491,lldp,Open,LLDP daemon clears other feature's keys in System:status column
493,VLANS,Open,interface is getting tagged to all exiting vlans if interface vlan mode is changes to native untagged
494,vlan,Fixed,Able to assign used internal vlan assigned to an L3 interface  on an L2 interface .
495,Mgmt Interface,Fixed,Setting up Hostname fails
497,lldp,Open,"LLDP : IPV6 LLDP management address with last octet as 0, 0 is not displayed in remote device info."
498,lldp,Open,LLDP : Unconfiguring LLDP management address issue
499,vlan,Fixed,Wrong port display on default vlan
500,lldp,Fixed,"vtysh core dumped for ""show lldp neigh"" command"
501,vlan,Fixed,Some of the configuration skipped while restore bulk configuration
503,ntp,Fixed,NTP: Invalid ip-address shouldn't accept for ntp server config.
504,lldp,Fixed,diag-dump output alignment issues
505,lldp,Fixed,Event logging is not adding an event for LLDP neigbour removal
506,Sub-interfaces,Open,L3(Subinterface) :: Subinterface help shows that  newly created interface is enabled by default while sh run does not reflect it.
507,lldp,Fixed,diag-dump command hung for the command targeted to non responding daemon (LLDP)
508,subinterfaces,Open,L3(Subinterface) :: Admin state in show interface <subint> shows admin up even when it is down .
509,subinterfaces,Fixed,"L3(Subinterface) show interface <interface name> subinterface command , takes subinterface itself as input"
511,lldp,Open,"""show lldp neighbor-info"" is missing the SysName"
515,basic l3,Fixed,Switch unable to ping loopback interface.
519,lldp,Open,"LLDP : LLDP Neighbor entries field becomes 0, with a new neighbor entry"
520,Sub-interfaces,Open,"Core dump for switchd , vlan ,zebra while trying to configure an internal vlan on subinterface(negative scenario)"
521,basic l3,Open,L3 Subinterface : Duplication of IPv6 addresses across subinterfaces
522,subinterfaces,Open,L3 Subinterface : Non existing vlan is assigned to subinterface
523,lldp,Fixed,LLDP daemon core-dumped
525,basic l3,Fixed,L3 Subinterface : Subinterface CLI shows parent interface down if you create a subinterface first and do a admin up on parent interfaces later
526,ntp,Fixed,NTP: A validation is needed for maximum number of configurable NTP servers
528,rest,Fixed,[REST] PATCH method fails when adding keys within empty optional columns
529,rest,Fixed,[REST] Swagger: Error message printed at the restapi.json
530,platform,Fixed,"The ""show interface"" RegEx are incorrect"
532,platform,Open,Pretty name & Show system version are different from actual build
533,os-infra,Open,"Events are getting cleared automatically from journal db and hence the output of ""show events"""
534,lldp,Fixed,LLDP events issue : either missing neighbor delete event or duplicate add event
535,os-infra,Open,journalctl -f floods
537,Ping,Fixed,Ping to VLAN IP address does not work
539,BGP,Fixed,BGP max number of routes reaches 3039 and then neighbor disconnects
540,CLI infra,Fixed,test_vtysh_ct_system skipped in CIT Tier 1
541,BGP,Fixed,test_bgp_ft_routemaps_with_hosts_ping skipped in Tier1 CIT
542,CLI infra,Fixed,test_vtysh_ct_cli_infra skipped in Tier1 CIT
543,Ping,Open,Issue with Ping FT-Script
546,BGP,Fixed,BGP fast-external-failover command not working
547,link aggregation,Fixed,"After several seconds of turning a LACP interface down, its status will stwich to Collecting"
548,Loopback,Fixed,Loopback interfaces do not show as implicitly connected routes (connect routes ) in show ip route Defect ID 753
551,link aggregation,Fixed,Eliminate options in Load Balancing enum
552,authentication,Fixed,"Unable to change the password for the username ""admin"" and already existing configured user."
553,lldp,Fixed,"[diag-dump] Error on ""diag-dump lldp basic"" in the ""admin"" mode"
555,lldp,Fixed,"vtysh coredumped when executing ""diag-dump lldp basic"" for an corrupted yaml file"
556,lldp,Open,LLDP : Re-Init timer information need to be displayed in show lldp config command output
557,lldp,Open,LLDP neighbor-info
560,Loopback,Fixed,No CLI ( show loopback interface brief) to check all the loopbacks configured
562,Loopback,Fixed,Loopback interface is not reachable through the management interface on openswitch
563,rest,Fixed,[REST] Status and statistics columns are seen as invalid during sort and filter
564,rest,Fixed,[REST] GET with depth returns 200OK when use an invalid selector
566,rest,Fixed,[REST] PATCH stop working when add a very big string as an attribute
567,Configuration Persistence,Skip Fix,Traceback generated after interrupting copy from running to startup
568,rest,Fixed,[REST] GET when the depth is big does not work
569,subinterfaces,Fixed,l3 subinterface: vswitchd crash while configuring multiple subinterface
570,AAA,Open,"Unable to remove existing local user account using ""user remove <user>"" from root user login."
571,lldp,Fixed,"CIT Issue"": Skipping the LLDP test case due to the CLI changes made to fix the defect #403"
572,os-infra,Open,Supportability feature needs a recovery mechansim if any of the yaml file is corrupted
575,basic l3,Fixed,L3 ECMP: Nexthop not getting deleted from ASIC for ECMP routes
576,platform,Fixed,Platform: Duplexity default is not been displayed as expected
577,platform,Fixed,Platform: Duplexity mode from Half-duplex to Full-duplex change is not been reflected
579,Loopback,Fixed,Loopback interface is able to reach an external host configured in the same subnet
581,CLI infra,Open,"Core dumped when you press ctrl + ""|"" keyboard layout in Spanish"
583,ntp,Fixed,NTP: Long NTP server name displays information out of the table in command ‘show ntp associations’
584,ntp-client,Fixed,NTP: Rx-pkts field in statistics starts to increase even if an NTP server is not connected
585,basic l3,Open,L3 ECMP: Nexthop is not removed from ASIC ecmp object when corresponding interface is shutdown
587,platform,Open,Copy running-config start-config could be lost interfaces
591,vlan,Fixed,Sorting issue on show vrf output
592,Diagnostics,Fixed,VTYSH core file while execute show tech CLI continuously
594,dhcp server,Open,DHCP: Max number of ranges is not defined.
596,CLI-infra,Skip Fix,Core Dump on issuing VTYSH command. Cannot enter into the vtysh mode.
598,Ping,Fixed,Ping with ip-option include-timestamp is showing error
599,CLI infra,Open,Not able to login to openswitch with admin/admin credentials.
600,lldp,Open,LLDP neighbor chassis ID not populated for Linux box connecting to switch
601,Sub-interfaces,Fixed,"L3 Subinterface :: Segmentation fault(core dumped portd, vland) while trying to do sh interface <subinterface> brief for connected interfaces"
602,Sub-interfaces,Open,L3 Subinterface:: Two subinterfaces with the same VLAN ID should be allowed to configure IP in same or different subnets
604,Ping,Open,The parse_ping_repetitions is  not parsing the output
605,rest,Fixed,GET  /rest/v1/system/subsystems/base does not return interfaces(references)
606,rest,Fixed,Interfaces in Subsystem gets deleted after write from DC
607,rest,Assigned,ops-restd is shipping publicly accessable SSL private key
608,rest,Fixed,Interfaces are shown as part of configuration as well as status fields in model schema of swagger for GET
609,basic l3,Fixed,Zebra adding a next hop when interface is down
610,basic l3,Fixed,Core file created by zebra daemon while convert interface from L3 to L2 and add allowed vlan on trunk interfaces
611,lldp,Fixed,Multiple core file created by lldp daemon while adding allowed vlan on trunk interfaces
612,basic l3,Open,Loopback interfaces do not show traffic statistics .
613,Loopback,Fixed,Loopback interfaces do not show up in sorted order in show run and show loopback interface CLI's.
615,infra,Open,Website does not produce 404
616,lldp,Fixed,Disabling LLDP test case
618,basic l3,Open,portd needs to  push port configurations to interface when a kernel interface is detected
619,subinterfaces,Fixed,subinterface: out of order show running-config
622,VLANS,Open,Test coverage for vlan not sufficient
623,link aggregation,Fixed,LAG and LACP test cases should be renamed to test_* convention
626,ntp,Fixed,test_ntpd_ft_auth_noauth_restart.py failing intermittently on CIT Tier1/2
627,basic l3,Open,Shutdown of interface does not remove the connected route in sh ip- route
631,Mgmt Interface,Fixed,test_mgmt_intf_ft.py fails intermittently in CIT Tier 1
633,VLANS,Open,CIT Failure ops.tests.vlan.test_ft_vlan_removed_from_end_of_table.Test_vlan_state_removed_from_end_of_table.test_sendTraffic_after
644,link aggregation,Assigned,"Output for ""show interface brief"" is not showing the LAG mode anymore"
648,link aggregation,Fixed,LAG is not using the Port Priority to choose speed
649,link aggregation,Fixed,"lacp_user_guide.md is showing incorrect ouput for ""show lacp interfaces"""
650,link aggregation,Fixed,Sytem Priority and Port Priority are not changing the decision for LAG negotiation
651,link aggregation,Fixed,Ping is not working when LAG is changed from two interfaces to just one interface
652,vlan,Open,test_ft_vlan_removed_from_end_of_table.py is failing intermittently in CIT Tier 1 and Tier 2
659,L2 Physical Interfaces,Fixed,test_interfaces_ft_intf_stats.Test_template.test_statistics failure: ERROR: AssertionError: rx_bytes wrong
661,rest,Fixed,REST: Custom validators logic not invoked for PATCH
662,rest,Fixed,test_rest_ft_interfacesid.py and test_rest_ft_system.py Failing for tier2 (regression)
663,link aggregation,Open,Bonding driver errors
664,link aggregation,Fixed,"""show running-config"" doesn't show IP LAG config"
666,BGP,Fixed,CLI issues on 0.2.1
668,boot process,Fixed,sysd: ops-sysd crash if BUILD_ID is missing or longer than 80 in /etc/os-release file
669,OVS Infra,Open,OVSDB error logging
671,BGP,Fixed,"ops.tests.bgp.test_bgp_ft_ipv6_prefixlist.Test_bgpd_ipv6.test_bgp_full failed to Config ""bgp router-id 9.0.0.2"" was not correctly configured!"
673,BGP,Fixed,ops.tests.bgp.test_bgp_ft_routemap_ipv6_next_hop.Test_bgp_redistribute_configuration.test_configure Failing with Timeout > 300
674,VRF,Assigned,enhance zebra CT script to handle VRF show routes
675,platform,Fixed,SFP+ module on some port is not recognized
676,Configuration Persistence,Open,"""copy running-config startup-config"" not working"
678,Infrastructure Build System,Open,Openswitch: Unsupported and outdated CMake version
679,sflow,Fixed,show sflow interface <no> shows Segmentation fault
680,rest,Fixed,REST: Rest not working for NTP_Association and NTP_Key table
687,link aggregation,Fixed,zebra core files created on LAG setup
688,link aggregation,Fixed,VTYSH memory corruption after enable routing on LAG interface
695,link aggregation,Fixed,LAG interface stat shows negative value
696,link aggregation,Fixed,IxANVL LACP 1.5 and 1.6 - DUT forwarding packets during Collecting or Distributing bit = FALSE
697,link aggregation,Fixed,LAG group with Hash type l2-src-dst doesn't balance the traffic
698,link aggregation,Fixed,IxANVL LACP 10.2 - LAG invidual interface selection is not established
699,link aggregation,Fixed,IxANVL LACP 2.1 - DUT not switching to another member of LAG when an interface is disabled
700,rest,Fixed,[REST] PATCH method is not supported in Full-Configuration
702,link aggregation,Assigned,ops-intfd.tests.test_intfd_ct_admin_state.Test_portd_admin_state_update.test_port_interface_admin_state component test fail intermittent
703,BGP,Fixed,ops.tests.bgp.test_bgp_ft_ip_prefixlist.Test_bgpd_routemap.test_bgp_full fails intermittent
704,BGP,Fixed,ops.tests.bgp.test_bgp_ft_routemap.Test_bgpd_routemap.test_bgp_full fails intermittent
705,AAA,Open,test_vtysh_ct_aaa.AutoProvisioning fails intermitten in aaa-utils repo
706,lldp,Fixed,ops.tests.lldp.test_lldp_ft_enable_disable.Test_lldp_configuration.test_lldp_enable_disable fails intermitten in intfd repo
707,LACP,Fixed,ops-lacpd.tests.test_vtysh_ct_lacp.Test_lacp_cli.test_lagContextCommands fails intermittent in lacp repo
709,LACP,Fixed,ops-lacpd.tests.test_lacpd_ct_lag_config.Test_lacpd.test_lacpd_dynamic_lag_config fails intermittent
710,BGP,Fixed,test_bgp_ft_peergroup.bgpTest fails intermittent between repos
711,BGP,Fixed,"BGP fails to converge to ""Established"" and ""show bgp neighbor"" shows incomplete output."
712,BGP,Open,OpenSwitch - BGP with multipath is taking too long to reconverge after failure
713,BGP,Fixed,"Openswitch - BGP:  bgp routes in the leaf switches  are removed from the  routing table, when a spine device is turned off with multipath enabled."
